Warehouse,Algorithm,Steps,Method
warehouse_179.txt,Astar,-1,elem
warehouse_179.txt,Breadth,-1,elem
warehouse_179.txt,Depth,-1,elem
warehouse_181.txt,Astar,-1,elem
warehouse_181.txt,Breadth,-1,elem
warehouse_181.txt,Depth,-1,elem
warehouse_183.txt,Astar,-1,elem
warehouse_183.txt,Breadth,-1,elem
warehouse_183.txt,Depth,-1,elem
warehouse_185.txt,Astar,-1,elem
warehouse_185.txt,Breadth,-1,elem
warehouse_185.txt,Depth,-1,elem
warehouse_187.txt,Astar,-1,elem
warehouse_187.txt,Breadth,-1,elem
warehouse_187.txt,Depth,-1,elem
warehouse_189.txt,Astar,-1,elem
warehouse_189.txt,Breadth,-1,elem
warehouse_189.txt,Depth,-1,elem
warehouse_19.txt,Astar,41,elem
warehouse_19.txt,Breadth,41,elem
warehouse_19.txt,Depth,59,elem
warehouse_191.txt,Astar,-1,elem
warehouse_191.txt,Breadth,-1,elem
warehouse_191.txt,Depth,-1,elem
warehouse_193.txt,Astar,-1,elem
warehouse_193.txt,Breadth,-1,elem
warehouse_193.txt,Depth,-1,elem
warehouse_195.txt,Astar,-1,elem
warehouse_195.txt,Breadth,-1,elem
warehouse_195.txt,Depth,-1,elem
warehouse_197.txt,Astar,-1,elem
warehouse_197.txt,Breadth,-1,elem
warehouse_197.txt,Depth,-1,elem
warehouse_199.txt,Astar,-1,elem
warehouse_199.txt,Breadth,-1,elem
warehouse_199.txt,Depth,-1,elem
warehouse_201.txt,Astar,-1,elem
warehouse_201.txt,Breadth,-1,elem
warehouse_201.txt,Depth,-1,elem
warehouse_203.txt,Astar,-1,elem
warehouse_203.txt,Breadth,-1,elem
warehouse_203.txt,Depth,-1,elem
warehouse_205.txt,Astar,-1,elem
warehouse_205.txt,Breadth,-1,elem
warehouse_205.txt,Depth,-1,elem
warehouse_21.txt,Astar,17,elem
warehouse_21.txt,Breadth,17,elem
warehouse_21.txt,Depth,17,elem
warehouse_23.txt,Astar,56,elem
warehouse_23.txt,Breadth,56,elem
warehouse_23.txt,Depth,90,elem
warehouse_25.txt,Astar,29,elem
