Warehouse,Algorithm,Steps,Method
warehouse_01.txt,Astar,33,elem
warehouse_01.txt,Breadth,33,elem
warehouse_01.txt,Depth,37,elem
warehouse_03.txt,Astar,41,elem
warehouse_03.txt,Breadth,41,elem
warehouse_03.txt,Depth,59,elem
warehouse_05.txt,Astar,-1,elem
warehouse_05.txt,Breadth,25,elem
warehouse_05.txt,Depth,-1,elem
warehouse_07.txt,Astar,-1,elem
warehouse_07.txt,Breadth,-1,elem
warehouse_07.txt,Depth,-1,elem
warehouse_09.txt,Astar,30,elem
warehouse_09.txt,Breadth,30,elem
warehouse_09.txt,Depth,30,elem
warehouse_103.txt,Astar,35,elem
warehouse_103.txt,Breadth,35,elem
warehouse_103.txt,Depth,477,elem
warehouse_105.txt,Astar,-1,elem
warehouse_105.txt,Breadth,-1,elem
warehouse_105.txt,Depth,-1,elem
warehouse_107.txt,Astar,-1,elem
warehouse_107.txt,Breadth,-1,elem
warehouse_107.txt,Depth,-1,elem
warehouse_109.txt,Astar,-1,elem
warehouse_109.txt,Breadth,-1,elem
warehouse_109.txt,Depth,-1,elem
