Warehouse,Algorithm,Steps,Method
warehouse_01.txt,Astar,4,macro
warehouse_01.txt,Breadth,4,macro
warehouse_01.txt,Depth,12,macro
warehouse_03.txt,Astar,-1,macro
warehouse_03.txt,Breadth,-1,macro
warehouse_03.txt,Depth,-1,macro
warehouse_05.txt,Astar,-1,macro
warehouse_05.txt,Breadth,-1,macro
warehouse_05.txt,Depth,-1,macro
warehouse_07.txt,Astar,-1,macro
warehouse_07.txt,Breadth,-1,macro
warehouse_07.txt,Depth,16,macro
warehouse_09.txt,Astar,-1,macro
warehouse_09.txt,Breadth,-1,macro
warehouse_09.txt,Depth,-1,macro
warehouse_103.txt,Astar,-1,macro
warehouse_103.txt,Breadth,-1,macro
warehouse_103.txt,Depth,-1,macro
warehouse_105.txt,Astar,-1,macro
warehouse_105.txt,Breadth,-1,macro
warehouse_105.txt,Depth,-1,macro
warehouse_107.txt,Astar,-1,macro
warehouse_107.txt,Breadth,-1,macro
warehouse_107.txt,Depth,-1,macro
warehouse_109.txt,Astar,-1,macro
warehouse_109.txt,Breadth,-1,macro
warehouse_109.txt,Depth,-1,macro
warehouse_11.txt,Astar,14,macro
warehouse_11.txt,Breadth,14,macro
warehouse_11.txt,Depth,38,macro
warehouse_111.txt,Astar,-1,macro
warehouse_111.txt,Breadth,-1,macro
warehouse_111.txt,Depth,-1,macro
warehouse_113.txt,Astar,-1,macro
warehouse_113.txt,Breadth,-1,macro
warehouse_113.txt,Depth,-1,macro
warehouse_115.txt,Astar,-1,macro
warehouse_115.txt,Breadth,-1,macro
warehouse_115.txt,Depth,-1,macro
warehouse_117.txt,Astar,-1,macro
warehouse_117.txt,Breadth,-1,macro
warehouse_117.txt,Depth,-1,macro
warehouse_119.txt,Astar,-1,macro
warehouse_119.txt,Breadth,-1,macro
warehouse_119.txt,Depth,-1,macro
warehouse_121.txt,Astar,-1,macro
warehouse_121.txt,Breadth,-1,macro
warehouse_121.txt,Depth,-1,macro
warehouse_123.txt,Astar,-1,macro
warehouse_123.txt,Breadth,-1,macro
warehouse_123.txt,Depth,-1,macro
warehouse_125.txt,Astar,-1,macro
warehouse_125.txt,Breadth,-1,macro
warehouse_125.txt,Depth,-1,macro
warehouse_127.txt,Astar,-1,macro
