Warehouse,Algorithm,Steps,Method
warehouse_01.txt,Astar,4,macro
warehouse_01.txt,Breadth,4,macro
warehouse_01.txt,Depth,12,macro
warehouse_03.txt,Astar,-1,macro
warehouse_03.txt,Breadth,-1,macro
warehouse_03.txt,Depth,-1,macro
warehouse_05.txt,Astar,-1,macro
warehouse_05.txt,Breadth,-1,macro
warehouse_05.txt,Depth,-1,macro
warehouse_07.txt,Astar,-1,macro
warehouse_07.txt,Breadth,6,macro
warehouse_07.txt,Depth,16,macro
warehouse_09.txt,Astar,-1,macro
warehouse_09.txt,Breadth,-1,macro
warehouse_09.txt,Depth,-1,macro
warehouse_103.txt,Astar,-1,macro
warehouse_103.txt,Breadth,-1,macro
warehouse_103.txt,Depth,-1,macro
warehouse_105.txt,Astar,-1,macro
warehouse_105.txt,Breadth,-1,macro
warehouse_105.txt,Depth,-1,macro
warehouse_107.txt,Astar,-1,macro
warehouse_107.txt,Breadth,-1,macro
warehouse_107.txt,Depth,-1,macro
warehouse_109.txt,Astar,-1,macro
warehouse_109.txt,Breadth,-1,macro
warehouse_109.txt,Depth,-1,macro
